price,carat,cut,color,clarity,table,length,width,depth
1053,0.48,Very Good,I,VS1,55,4.99,5.03,3.12
584,0.34,Premium,D,SI1,58,4.43,4.47,2.76
9005,1.04,Ideal,F,VVS2,57,6.5,6.53,3.99
2056,0.7,Premium,G,SI2,61,5.66,5.63,3.49
9407,1.57,Very Good,H,VS2,56,7.46,7.4,4.71
849,0.4,Very Good,E,VVS2,55,4.72,4.74,2.98
11848,1.36,Ideal,G,VVS2,57,7.14,7.2,4.38
795,0.44,Very Good,I,VS2,57,4.85,4.88,3.04
16916,1.52,Ideal,E,VS1,54,7.32,7.39,4.59
2642,0.72,Ideal,F,SI1,58,5.72,5.76,3.53
1406,0.51,Premium,D,SI2,61,5.19,5.16,3.08
5122,0.9,Very Good,F,SI1,57,6.13,6.16,3.83
10576,1.51,Ideal,I,VS1,56,7.37,7.43,4.56
3801,1.01,Fair,E,SI2,60,6.48,6.38,3.86
598,0.28,Ideal,E,VS2,56,4.22,4.24,2.6
2125,0.72,Fair,E,SI2,64,5.38,5.32,3.66
1986,0.51,Ideal,D,VS2,56,5.16,5.2,3.17
2401,0.7,Good,F,SI1,65,5.71,5.66,3.5
666,0.33,Premium,G,VS1,58,4.39,4.42,2.74
672,0.32,Ideal,G,VS2,57,4.41,4.37,2.72
2077,0.55,Ideal,G,VVS1,56,5.27,5.3,3.24
1178,0.5,Premium,D,SI2,60,5.21,5.19,3.04
5411,1.16,Ideal,H,SI1,59,6.66,6.61,4.26
671,0.38,Ideal,H,SI1,54,4.66,4.72,2.91
2999,1.02,Fair,H,I1,60,6.4,6.34,3.92
4469,1,Good,H,SI1,54,6.68,6.62,3.85
522,0.28,Ideal,H,VVS2,57,4.21,4.24,2.62
11333,1.59,Premium,H,VS2,58,7.42,7.48,4.63
1006,0.42,Ideal,D,VS1,55,4.8,4.9,2.98
5171,1.08,Premium,H,SI1,58,6.56,6.53,4.1
2638,0.74,Very Good,E,VS2,63,5.79,5.77,3.55
3461,1.06,Ideal,F,SI2,56,6.52,6.47,4.07
731,0.3,Good,F,VS1,56,4.28,4.26,2.72
2975,0.83,Premium,G,SI1,59,6.02,5.99,3.7
1883,0.5,Ideal,G,VVS1,55,5.09,5.11,3.17
7336,1.23,Ideal,E,SI2,55,6.91,6.84,4.27
11508,1.5,Good,G,VS2,64,7.43,7.4,4.36
5439,1.19,Premium,I,VS2,57,6.84,6.77,4.2
1400,0.49,Very Good,E,SI1,57.9,4.96,4.99,3.16
1623,0.5,Very Good,E,VS2,63,5.14,5.09,3.13
2651,0.72,Very Good,E,SI2,55.8,5.83,5.85,3.51
971,0.37,Premium,E,VVS2,60,4.75,4.68,2.81
4062,0.9,Good,F,SI1,59,6.06,6.09,3.88
6353,1.01,Premium,G,VS1,60,6.52,6.44,3.92
4550,1.04,Ideal,J,VS2,54,6.53,6.55,4.01
1960,0.71,Premium,H,SI2,57,5.76,5.69,3.52
1046,0.5,Very Good,E,SI2,61,5.08,5.09,3.09
17049,2.04,Ideal,F,SI2,56,8.07,8.14,5.06
518,0.37,Ideal,G,SI2,55,4.64,4.66,2.85
16036,2.17,Good,H,SI2,62,8.48,8.52,5.01
955,0.33,Ideal,F,VVS1,55,4.4,4.42,2.75
4120,1.06,Ideal,H,SI1,57,6.48,6.53,4.08
765,0.34,Premium,I,VVS2,60,4.49,4.45,2.75
530,0.23,Very Good,E,VVS2,60,3.96,3.99,2.42
7023,1.27,Ideal,E,SI2,57,7,7.02,4.26
1585,0.56,Ideal,G,VS2,57,5.29,5.25,3.28
18026,2.32,Premium,I,SI1,58,8.57,8.52,5.23
6354,1.22,Premium,H,VS2,58,6.89,6.86,4.19
1607,0.53,Ideal,G,VS1,55,5.18,5.22,3.21
7501,1.41,Good,D,SI2,60,7.08,7,4.5
5115,1.02,Ideal,F,SI2,58,6.34,6.42,4.01
526,0.3,Very Good,G,VS2,60,4.24,4.25,2.64
2999,0.74,Premium,E,VS1,58,5.83,5.74,3.63
552,0.3,Ideal,D,SI1,56,4.3,4.34,2.66
13480,2,Good,H,SI2,57,8.01,7.97,5.08
2241,0.83,Premium,J,SI2,60,6.13,6.12,3.62
1312,0.51,Good,F,SI1,56,5.08,5.04,3.23
10712,1.53,Premium,D,SI1,58,7.35,7.42,4.55
748,0.35,Premium,F,SI1,58,4.6,4.54,2.75
1408,0.61,Good,E,SI2,56,5.4,5.44,3.42
913,0.34,Ideal,G,VVS1,56,4.48,4.51,2.78
3374,0.72,Very Good,E,VVS2,60,5.87,5.83,3.47
687,0.4,Very Good,F,SI1,57,4.65,4.69,2.9
2968,0.75,Very Good,E,SI1,60,5.89,5.93,3.56
